"NATMON_IND","Indicator","LOCATION","country","TIME","Time","completed_education","Flag Codes","Flags"
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","CZE","Czechia","2019","2019",99.57053,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","HUN","Hungary","2019","2019",98.99878,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","SEN","Senegal","2019","2019",65.01246,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","SUR","Suriname","2019","2019",91.19761,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","SWE","Sweden","2019","2019",99.57877,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","BEL","Belgium","2019","2019",97.41184,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","MAR","Morocco","2019","2019",97.4808,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","LVA","Latvia","2019","2019",97.95072,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","MNE","Montenegro","2019","2019",98.59644,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","GBR","United Kingdom of Great Britain and Northern Ireland","2019","2019",99.75948,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","BDI","Burundi","2019","2019",45.73116,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","SLE","Sierra Leone","2019","2019",55.18903,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","MAC","China, Macao Special Administrative Region","2019","2019",99.50112,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","DOM","Dominican Republic","2019","2019",83.64519,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","BRN","Brunei Darussalam","2019","2019",99.50362,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","TUR","Türkiye","2019","2019",,"a","Category not applicable"
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","SVK","Slovakia","2019","2019",99.19364,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","LVA","Latvia","2019","2019",97.73218,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","BEN","Benin","2019","2019",38.76638,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","GTM","Guatemala","2019","2019",74.98561,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","AUT","Austria","2019","2019",99.61435,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","TZA","United Republic of Tanzania","2019","2019",82.64749,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","GRC","Greece","2019","2019",99.71803,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","LBN","Lebanon","2019","2019",82.6898,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40515","East Asia and the Pacific","2019","2019",96.29116,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40540","Sub-Saharan Africa","2019","2019",61.25557,"‡","UIS Estimation"
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40510","World","2019","2019",83.85254,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40042","Lower middle income countries","2019","2019",84.73679,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40614","Western Asia","2019","2019",77.45099,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","CYP","Cyprus","2019","2019",97.21621,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","HND","Honduras","2019","2019",74.07236,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","BGR","Bulgaria","2019","2019",96.05576,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","MEX","Mexico","2019","2019",98.27271,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","VUT","Vanuatu","2019","2019",94.43229,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","CZE","Czechia","2019","2019",99.58722,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","ISR","Israel","2019","2019",98.18909,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","DJI","Djibouti","2019","2019",93.74325,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","MKD","North Macedonia","2019","2019",95.83636,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","MUS","Mauritius","2019","2019",97.15492,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40640","Northern America ","2019","2019",91.30701,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","LCA","Saint Lucia","2019","2019",93.70082,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","SWE","Sweden","2019","2019",99.8347,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","FIN","Finland","2019","2019",99.34342,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","ABW","Aruba","2019","2019",94.27815,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","CPV","Cabo Verde","2019","2019",94.19834,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","SMR","San Marino","2019","2019",98.09611,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","ZAF","South Africa","2019","2019",96.68677,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","GRC","Greece","2019","2019",99.45499,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","LAO","Lao People's Democratic Republic","2019","2019",88.36154,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","MDA","Republic of Moldova","2019","2019",,"a","Category not applicable"
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","HUN","Hungary","2019","2019",,"a","Category not applicable"
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","SLV","El Salvador","2019","2019",87.10331,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","PSE","Palestine","2019","2019",,"a","Category not applicable"
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40630","Latin America and the Caribbean","2019","2019",86.27713,"‡","UIS Estimation"
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","LKA","Sri Lanka","2019","2019",99.29906,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","KGZ","Kyrgyzstan","2019","2019",,"a","Category not applicable"
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40675","World","2019","2019",83.85254,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","WSM","Samoa","2019","2019",92.30062,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","AZE","Azerbaijan","2019","2019",95.33319,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","OMN","Oman","2019","2019",99.11494,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","DNK","Denmark","2019","2019",99.87463,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","ISL","Iceland","2019","2019",99.5556,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40550","Small Island Developing States","2019","2019",58.98809,"‡","UIS Estimation"
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","LTU","Lithuania","2019","2019",98.87703,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","MLT","Malta","2019","2019",98.04337,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","UZB","Uzbekistan","2019","2019",,"a","Category not applicable"
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","BFA","Burkina Faso","2019","2019",61.14429,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","CHN","China","2019","2019",99.7864,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","UKR","Ukraine","2019","2019",98.40326,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40510","World","2019","2019",82.92904,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","MAC","China, Macao Special Administrative Region","2019","2019",99.87083,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","SVK","Slovakia","2019","2019",,"a","Category not applicable"
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","ISL","Iceland","2019","2019",99.41009,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","KHM","Cambodia","2019","2019",79.69552,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","ITA","Italy","2019","2019",99.83543,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","BDI","Burundi","2019","2019",65.7931,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","ESP","Spain","2019","2019",99.80239,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","CIV","Côte d'Ivoire","2019","2019",85.10712,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","HND","Honduras","2019","2019",76.70302,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","ARG","Argentina","2019","2019",94.41852,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","IND","India","2019","2019",98.40999,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","JAM","Jamaica","2019","2019",59.09417,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","HRV","Croatia","2019","2019",98.30068,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","SRB","Serbia","2019","2019",97.53424,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","BEL","Belgium","2019","2019",97.04408,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","MNE","Montenegro","2019","2019",98.33484,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","ECU","Ecuador","2019","2019",97.9516,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","KAZ","Kazakhstan","2019","2019",,"a","Category not applicable"
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","GEO","Georgia","2019","2019",98.92638,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","MEX","Mexico","2019","2019",97.73085,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","CZE","Czechia","2019","2019",99.57053,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","MOZ","Mozambique","2019","2019",43.07118,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","SVN","Slovenia","2019","2019",99.73255,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","MUS","Mauritius","2019","2019",96.56504,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","DJI","Djibouti","2019","2019",88.24742,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","MHL","Marshall Islands","2019","2019",79.04647,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40334","Least Developed Countries","2019","2019",56.48712,"‡","UIS Estimation"
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","LCA","Saint Lucia","2019","2019",98.02629,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","SWE","Sweden","2019","2019",99.6319,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","LAO","Lao People's Democratic Republic","2019","2019",79.81871,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","CPV","Cabo Verde","2019","2019",91.93785,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","HND","Honduras","2019","2019",83.62238,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","EST","Estonia","2019","2019",99.89073,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","PHL","Philippines","2019","2019",96.93282,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","MYS","Malaysia","2019","2019",99.59844,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","ARM","Armenia","2019","2019",99.33251,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","FJI","Fiji","2019","2019",79.54709,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","MDA","Republic of Moldova","2019","2019",97.11164,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40606","Sub-Saharan Africa","2019","2019",61.28561,"‡","UIS Estimation"
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","URY","Uruguay","2019","2019",99.12115,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","HKG","China, Hong Kong Special Administrative Region","2019","2019",99.47724,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","ALB","Albania","2019","2019",91.7617,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","BEN","Benin","2019","2019",47.70494,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","BLR","Belarus","2019","2019",98.00456,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","EGY","Egypt","2019","2019",99.72808,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","BOL","Bolivia (Plurinational State of)","2019","2019",95.3443,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","NOR","Norway","2019","2019",98.62295,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","QAT","Qatar","2019","2019",96.90916,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","CHE","Switzerland","2019","2019",100,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","DNK","Denmark","2019","2019",99.8524,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","COL","Colombia","2019","2019",93.75266,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40619","Eastern and South-Eastern Asia","2019","2019",95.55607,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40030","Middle income countries","2019","2019",89.78022,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","ROU","Romania","2019","2019",95.42308,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","CHN","China","2019","2019",96.84884,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","LBN","Lebanon","2019","2019",89.52541,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","MOZ","Mozambique","2019","2019",43.46537,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","UZB","Uzbekistan","2019","2019",99.64403,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40500","North America and Western Europe","2019","2019",93.68947,"‡","UIS Estimation"
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","CHL","Chile","2019","2019",98.40654,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","GTM","Guatemala","2019","2019",82.823,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","ALB","Albania","2019","2019",90.9284,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","KOR","Republic of Korea","2019","2019",99.33322,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","UKR","Ukraine","2019","2019",,"a","Category not applicable"
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","JOR","Jordan","2019","2019",93.6752,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","DOM","Dominican Republic","2019","2019",89.2437,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40617","Northern Africa and Western Asia","2019","2019",86.63621,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","KWT","Kuwait","2019","2019",100,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","AUT","Austria","2019","2019",,"a","Category not applicable"
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","ROU","Romania","2019","2019",95.12516,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","KHM","Cambodia","2019","2019",91.18899,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","BOL","Bolivia (Plurinational State of)","2019","2019",96.25699,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","HRV","Croatia","2019","2019",,"a","Category not applicable"
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","NOR","Norway","2019","2019",99.4943,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","ESP","Spain","2019","2019",99.90268,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","BDI","Burundi","2019","2019",63.56046,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","ARG","Argentina","2019","2019",97.56757,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","CIV","Côte d'Ivoire","2019","2019",78.02748,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","SUR","Suriname","2019","2019",91.29034,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40505","Central Asia","2019","2019",99.02871,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","GRC","Greece","2019","2019",99.56097,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","JAM","Jamaica","2019","2019",78.0129,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","CPV","Cabo Verde","2019","2019",88.68599,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","IND","India","2019","2019",99.12983,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","ECU","Ecuador","2019","2019",96.74735,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","BIH","Bosnia and Herzegovina","2019","2019",93.18631,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","SLV","El Salvador","2019","2019",80.09925,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","SEN","Senegal","2019","2019",83.87413,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40616","Southern Asia","2019","2019",91.27624,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","PSE","Palestine","2019","2019",99.33203,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","LCA","Saint Lucia","2019","2019",93.74823,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","EGY","Egypt","2019","2019",99.67545,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40530","Central and Eastern Europe","2019","2019",99.04768,"‡","UIS Estimation"
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","BFA","Burkina Faso","2019","2019",67.94672,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40041","High income countries","2019","2019",95.24675,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","SVN","Slovenia","2019","2019",99.63912,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40619","Eastern and South-Eastern Asia","2019","2019",96.01756,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","KGZ","Kyrgyzstan","2019","2019",96.8095,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","MYS","Malaysia","2019","2019",97.00838,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","ARM","Armenia","2019","2019",99.37332,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40642","Europe and Northern America","2019","2019",95.14281,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","OMN","Oman","2019","2019",,"a","Category not applicable"
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","RUS","Russian Federation","2019","2019",,"a","Category not applicable"
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","ISR","Israel","2019","2019",99.10612,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","GMB","Gambia","2019","2019",92.22398,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","BEL","Belgium","2019","2019",96.55597,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","SGP","Singapore","2019","2019",99.594,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","CHN","China","2019","2019",97.01068,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","SLE","Sierra Leone","2019","2019",55.79396,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","FIN","Finland","2019","2019",99.65441,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","AZE","Azerbaijan","2019","2019",,"a","Category not applicable"
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","MAR","Morocco","2019","2019",97.92366,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","CUB","Cuba","2019","2019",96.52954,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","HKG","China, Hong Kong Special Administrative Region","2019","2019",98.99766,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","FJI","Fiji","2019","2019",79.04059,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","TZA","United Republic of Tanzania","2019","2019",84.47707,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","BLR","Belarus","2019","2019",,"a","Category not applicable"
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","DNK","Denmark","2019","2019",99.86457,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","BIH","Bosnia and Herzegovina","2019","2019",93.59387,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","AND","Andorra","2019","2019",98.7438,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","ZWE","Zimbabwe","2019","2019",92.09701,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","SYC","Seychelles","2019","2019",96.60864,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","JOR","Jordan","2019","2019",97.02497,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","KOR","Republic of Korea","2019","2019",99.19651,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","BRN","Brunei Darussalam","2019","2019",99.20287,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","TUR","Türkiye","2019","2019",99.84731,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","CHL","Chile","2019","2019",100,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","LVA","Latvia","2019","2019",97.09163,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","DOM","Dominican Republic","2019","2019",93.38714,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","MKD","North Macedonia","2019","2019",94.65777,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","KHM","Cambodia","2019","2019",80.71956,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","NOR","Norway","2019","2019",100,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","TZA","United Republic of Tanzania","2019","2019",88.90402,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","AUT","Austria","2019","2019",99.7817,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","SVN","Slovenia","2019","2019",99.48864,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","MUS","Mauritius","2019","2019",97.08047,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","GEO","Georgia","2019","2019",98.55813,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","CYP","Cyprus","2019","2019",100,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","PHL","Philippines","2019","2019",97.70056,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","KAZ","Kazakhstan","2019","2019",94.23782,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","EST","Estonia","2019","2019",99.65098,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","BGR","Bulgaria","2019","2019",95.83481,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","BLZ","Belize","2019","2019",97.48904,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","SWE","Sweden","2019","2019",99.78297,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","HRV","Croatia","2019","2019",,"a","Category not applicable"
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","KWT","Kuwait","2019","2019",93.95474,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","URY","Uruguay","2019","2019",99.1501,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","ABW","Aruba","2019","2019",93.36822,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","EGY","Egypt","2019","2019",99.96925,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","PSE","Palestine","2019","2019",98.69651,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40618","Central and Southern Asia","2019","2019",87.92531,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","TUV","Tuvalu","2019","2019",82.7605,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","GMB","Gambia","2019","2019",88.73267,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","LTU","Lithuania","2019","2019",98.97025,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","WSM","Samoa","2019","2019",90.49376,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","KGZ","Kyrgyzstan","2019","2019",97.69109,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40344","Small Island Developing States","2019","2019",57.41493,"‡","UIS Estimation"
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","LKA","Sri Lanka","2019","2019",99.58948,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","AZE","Azerbaijan","2019","2019",93.16763,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","MAR","Morocco","2019","2019",97.53171,,
